15;1076547602;147.228.57.22;9403dd38873890693d49ca5389e0b72b;/;
10;1076547822;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/dt/?c=124;http://www.shop1.cz/ls/?&id=2&view=6,8,10,15&filtr=1&pozice=20
10;1076547834;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ls/preber.php;http://www.shop1.cz/ls/?&id=2&view=6,8,10,15&filtr=1&pozice=20
10;1076547834;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ls/?filtr=2,1&id=2&sort=&view=6,8,10,15;http://www.shop1.cz/ls/?&id=2&view=6,8,10,15&filtr=1&pozice=20
14;1076547840;66.196.72.53;ac514b9c6d62a04e0214dc1218971db5;/dt/?c=4011;
15;1076547840;212.65.208.170;698205c3cc8d375bc98b58135bbaca5a;/;http://dir.seznam.cz/Hudba__Film_a_MP3/MP3/index.html
15;1076547840;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/dt/?c=16021;
10;1076547841;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/dt/?c=149;http://www.shop1.cz/ls/?filtr=2,1&id=2&sort=&view=6,8,10,15
12;1076547867;213.180.33.114;4e112dba0407e13cd9d7020206169524;/znacka/?c=25;http://search.seznam.cz/search.cgi?w=thomson+whp+465&mod=l-p-s-1-y-n&a=0
16;1076547875;65.54.188.42;cc4fd29b25ef5ae3b10c77be6253b6c4;/dt/?id=10067;
12;1076547875;65.54.188.34;64c0d7f2f664ede6779f144008e4ffd0;/dt/?c=16244;
12;1076547897;65.54.188.34;73e810ffd266f6d6b1061456a7421c67;/dt/?c=10166;
16;1076547901;65.54.188.42;ba8d7ea4b3afdeced2c457c3cf2610f6;/znacka/?c=141&tisk=ano&tisk=ano&tisk=ano;
15;1076547904;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/dt/?c=16021;
10;1076547904;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/akce/;http://www.shop1.cz/
14;1076547908;65.54.188.29;b36652b1fc99abe0316c852b80ab9b91;/dt/?c=16623&tisk=ano;
16;1076547912;65.54.188.42;dd2fb64bb728bc40e2ec7e9d88ad69bb;/dt/?c=9318&tisk=ano&tisk=ano;
15;1076547913;195.166.238.131;6c3ee0e598eaf9c1c821850a522e78cf;/;http://counter.cnw.cz/
14;1076547924;65.54.188.29;04fe422942c77f72908dec4229e1ab9a;/dt/?id=3652;
12;1076547928;65.54.188.34;7d6478cc4007c8ef0c752269257c6373;/dt/?c=13623;
14;1076547940;65.54.188.29;1351f36418c4e37efa6ebcfc1e987ffc;/dt/obr.php?id=8230;
14;1076547975;65.54.188.29;908ab9c1ca18e4be9a09db88d8c217cc;/dt/?c=2057&tisk=ano&tisk=ano;
12;1076547993;213.180.33.114;4e112dba0407e13cd9d7020206169524;/znacka/?&pozice=20&c=25;http://www.shop3.cz/znacka/?c=25
12;1076547996;213.180.33.114;4e112dba0407e13cd9d7020206169524;/znacka/?&pozice=40&c=25;http://www.shop3.cz/znacka/?&pozice=20&c=25
16;1076548001;63.206.169.171;2476d537ecd1a45be958df95718b0d11;/;
14;1076548011;64.68.82.37;93c5a28093797e0ac0ca54b683da8594;/dt/obr.php?id=3120;
14;1076548012;64.68.82.135;da037e59d0501a3d1566c02244a038d7;/dt/obr.php?id=18625;
14;1076548026;64.68.82.208;cb3f65a1c2f8a9940a5a9856ae745ca0;/dt/obr.php?id=2813;
15;1076548030;212.158.158.134;e8537415f4682ecc319a14a06d0d65c4;/;
14;1076548041;64.68.82.159;31dfe92407735b7db409db1c8f058885;/dt/?c=8284;
14;1076548052;64.68.82.68;4fc3524b298f0b1053bda945fe31f71f;/dt/?c=8403;
14;1076548070;64.68.82.142;965905f14cf298fee54fbafb5575e0d7;/dt/prisl.php?id=2699;
10;1076548079;80.188.162.115;3afdc09f063f5f4c23a627bc8a7ce978;/;
12;1076548085;160.218.108.34;355b7149b0c761723299008808497290;/findf/?full=PANASONIC++TX-29&x=8&y=7;http://www.shop3.cz/dt/?c=10451
11;1076548102;131.107.137.37;1d4440ce6310da418aaa46da199a08c2;/poradna/?th=5314&ths=1;
15;1076548117;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/akce/;
15;1076548117;212.158.158.134;e8537415f4682ecc319a14a06d0d65c4;/ls/?id=76;http://www.shop5.cz/
15;1076548123;212.158.158.134;e8537415f4682ecc319a14a06d0d65c4;/ls/index.php?&id=76&view=2,5,9,35,31&filtr=68;http://www.shop5.cz/ls/?id=76
10;1076548124;193.85.66.190;79e718c29dde238fba80d837b99248cd;/;http://www.google.com/search?q=digit%C3%A1ln%C3%AD+fotoapar%C3%A1ty&ie=UTF-8&oe=UTF-8&hl=cs&btnG=Vyhledat+Googlem&lr=lang_cs
12;1076548125;66.196.72.33;593e0c0e0b4b562869661a709b468e00;/dt/?c=6454;
15;1076548132;212.158.158.134;e8537415f4682ecc319a14a06d0d65c4;/dt/?c=14684;http://www.shop5.cz/ls/index.php?&id=76&view=2,5,9,35,31&filtr=68
14;1076548157;64.68.82.33;cda49cac60e79d8653f394042beb16ff;/dt/obr.php?id=2823;
12;1076548160;160.218.108.34;355b7149b0c761723299008808497290;/dt/?c=13357;http://www.shop3.cz/findf/?full=PANASONIC++TX-29&x=8&y=7
10;1076548163;80.188.173.2;062132be588e33cf7afac342935e8185;/;http://www.shop.cz/
14;1076548164;64.68.82.46;7b8312d0484c0d641ea77dd36133e46e;/dt/obr.php?id=3772;
14;1076548166;64.68.82.44;9950a9eb529c80c4a5494a99b8412c6f;/dt/obr.php?id=3187;
15;1076548168;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ct/?c=173;
14;1076548173;66.196.90.203;3ccd623b2c77603dd6b55c57943f5251;/dt/?id=13086;
14;1076548174;66.196.90.203;be1c5c647caafd45727e34230ca174d1;/dt/?c=13086;
14;1076548185;64.68.82.55;10eb41c7fdba39dc520bf63ae87e3fe8;/dt/obr.php?id=2831;
14;1076548187;64.68.82.176;1d9242200196b0b2b1b3d8039ac1b09c;/dt/?c=5146&tisk=ano;
14;1076548194;212.80.76.102;11f1cb39fe333eb3f32844435e2efe3d;/;
14;1076548194;212.80.76.102;11f1cb39fe333eb3f32844435e2efe3d;/;
15;1076548209;212.158.158.134;e8537415f4682ecc319a14a06d0d65c4;/dt/?c=10633;http://www.shop5.cz/ls/index.php?&id=76&view=2,5,9,35,31&filtr=68
15;1076548211;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=75;
15;1076548261;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=77;
15;1076548274;212.158.158.134;e8537415f4682ecc319a14a06d0d65c4;/dt/?c=9437;http://www.shop5.cz/ls/index.php?&id=76&view=2,5,9,35,31&filtr=68
11;1076548302;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/ct/?c=173;http://www.shop2.cz/dt/?c=11086
11;1076548305;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/ls/?id=75;http://www.shop2.cz/ct/?c=173
11;1076548306;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/dt/?c=11077;http://www.shop2.cz/ls/?id=75
12;1076548336;65.54.188.34;ce1f30e4087984cc0f3f8b4128203a7d;/dt/?c=7551;
11;1076548352;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/dt/param.php?id=108;
12;1076548364;65.54.188.34;ae86c2b52187b59cac3396cc4ccdd50d;/dt/?c=14371&tisk=ano;
12;1076548365;66.196.72.83;2f93a7d3684da0aa728a136b5ef11dd9;/dt/?c=8950?&tisk=ano;
11;1076548377;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/dt/param.php?id=108;
10;1076548387;80.188.162.115;4ebd168804f1eb8ee8e309eef1a244bf;/;
14;1076548391;66.196.90.52;ba59f28ecd077fc983d9be508201245c;/dt/?c=1885;
12;1076548415;64.68.82.178;6440c1f8767c9a50dd741f0b99eb034d;/dt/?c=5772&tisk=ano;
14;1076548423;64.68.82.208;29c1a3ab84d7f4b4c781207762747c37;/poradna/w-glossary.php?&first=A&pozice=0;
14;1076548427;68.101.93.66;6a78fac9651294c9ddcdff33993d8db9;/w-answer.php?question=254;
14;1076548427;68.101.93.66;cbd391e670127bb041f461b81545edb9;/poradna/?akce=detail&thread_id=7861&thread_srv_id=1;
11;1076548428;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/ls/?id=75;http://www.shop2.cz/ct/?c=173
11;1076548431;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/ct/?c=173;http://www.shop2.cz/dt/?c=11086
11;1076548432;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/ls/?id=77;http://www.shop2.cz/ct/?c=173
14;1076548435;65.54.188.29;be4c4beba0c7c02d3af3b9eb8844fd97;/dt/obr.php?id=3177;
11;1076548436;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/ls/index.php?&id=77&view=2,6,31&filtr=68;http://www.shop2.cz/ls/?id=77
11;1076548437;213.168.170.226;432c7a0f72e25005a1b12ee91cb52b11;/dt/?c=14889;http://www.shop2.cz/ls/index.php?&id=77&view=2,6,31&filtr=68
14;1076548439;65.54.188.29;5c072341a4d73f72cdcd822e5c46a783;/dt/obr.php?id=4946;
14;1076548444;65.54.188.29;65d15cb5382d28cb590daaa07859ddb7;/dt/obr.php?id=14515;
14;1076548448;65.54.188.29;06d976ea3365a8a43b15cd93b74fe873;/dt/?c=2414&komentare=1&tisk=ano;
15;1076548451;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/dt/?c=13697;
14;1076548460;66.196.72.104;7c10ddb0532dadb411b4d5f392dc49ed;/dt/?c=10904;
12;1076548465;64.68.82.55;435f9e56ad927a372b7d2979f4b93a65;/dt/?c=5768&tisk=ano;
14;1076548468;65.54.188.29;edebb9dd1b4fb31882fd3c6bafdca3ba;/dt/?c=15772&tisk=ano;
15;1076548477;64.68.82.137;20bd3b629aaa016108d63ce6b9663e33;/w-answer.php?question=70&action=1;
12;1076548478;64.68.82.44;4f840a51ea0d7d66173082085948c1d8;/dt/?c=9877;
12;1076548493;64.68.82.176;d9de3643d0de20585d0004ee66a5396e;/dt/?c=5777&tisk=ano;
12;1076548509;194.114.62.67;8f99cb15af8eda783b8c597c5d9dafdc;/dt/?c=14030;
15;1076548510;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=77;
14;1076548511;212.80.76.64;229321b5b27c9a317004a7666578507a;/znacka/?id=33;
14;1076548511;212.80.76.64;229321b5b27c9a317004a7666578507a;/znacka/?c=33;
15;1076548515;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=75;
12;1076548520;194.114.62.67;8f99cb15af8eda783b8c597c5d9dafdc;/dt/?c=14030;
14;1076548528;212.80.76.64;467bf7d3de51943176b6959063400699;/znacka/?id=33;
14;1076548529;212.80.76.64;467bf7d3de51943176b6959063400699;/znacka/?c=33;
15;1076548543;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=77;
12;1076548572;65.54.188.34;f66d5c1a7d909492d9526462c98b3316;/dt/?c=10176;
14;1076548598;216.39.50.158;62e5ef133bf913b2514766ae23960ed2;/;
15;1076548601;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/dt/?c=14681;
14;1076548605;64.68.82.164;bb55edadcc4c065597bac31353e245cb;/dt/?id=3652;
14;1076548615;64.68.82.176;0f707cab3fd01433b5dbf47f6a13697f;/dt/obr.php?id=18697;
14;1076548617;64.68.82.44;ea7e3b9a0e3474e921e508283236fd45;/dt/obr.php?id=4443;
14;1076548617;64.68.82.25;c00bc43654bb85547136fa3c7def5fe7;/dt/obr.php?id=2804;
14;1076548618;64.68.82.10;fb36680b580e311ec1a0e6410ca3a358;/poradna/index.php?th=7829&ths=1;
14;1076548620;64.68.82.55;ca66f71d52c13e8627aa16d33216def6;/dt/obr.php?id=4452;
14;1076548624;64.68.82.136;6ce921ad85df9546419a563e84080e39;/dt/obr.php?id=2589;
12;1076548628;66.196.90.184;e00754f3f1d8fe4695b9dbd5f55b54a3;/dt/param.php?id=221;
10;1076548629;213.168.170.226;6c141cb093ef7758544b054e64934131;/;http://www.shop2.cz/dt/?c=14889
10;1076548633;213.168.170.226;6c141cb093ef7758544b054e64934131;/ct/?c=141;http://www.shop1.cz/
10;1076548635;213.168.170.226;6c141cb093ef7758544b054e64934131;/ls/?id=3;http://www.shop1.cz/ct/?c=141
10;1076548638;213.168.170.226;6c141cb093ef7758544b054e64934131;/ls/index.php?&id=3&view=1,9,11,29,35&filtr=5;http://www.shop1.cz/ls/?id=3
14;1076548639;64.68.82.135;99fc3fda3f6029ed7f4bd93efdb3a270;/dt/obr.php?id=3742;
10;1076548640;213.168.170.226;6c141cb093ef7758544b054e64934131;/dt/?c=9699;http://www.shop1.cz/ls/index.php?&id=3&view=1,9,11,29,35&filtr=5
12;1076548655;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/;http://ad2.billboard.cz/please/showit/17719/1/1/13/?typkodu=html&topmargin=0&leftmargin=0&popis=0&okraj=1&bgcolor=bfc9d2&text=ffffff&link=000066&target=_blank&ubl=en-us&ucc=x86&ucd=32&uce=true&udx=96&udy=96&usl=en-us&uje=true&uah=570&uaw=800&ubd=0&uhe=600&ulx=96&uly=96&use=false&uto=300&uti=1076548655125&uui=0&uul=en-us&uwi=800&__INWIDTH=779&__INHEIGHT=431&href=http%3A//www.xko.cz/cgi-bin/xtalk/room.fcgi%3Fsc%3Dmenu%26akce%3Dopustit%26ID_room%3D191929%26jmeno%3Dresearch%26heslo%3DeB3bj1c4GYnh.%26jaz%3D2&bust=0.20577765130786107
15;1076548660;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=77;
15;1076548680;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/ls/?id=75;
12;1076548683;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/znacka/?c=125;http://www.shop3.cz/
12;1076548692;65.54.188.34;ff99d4ac79d5cde517d1653e7f501029;/dt/?c=10461;
12;1076548694;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/?c=12963;http://www.shop3.cz/znacka/?c=125
16;1076548735;66.196.72.105;9dd99a3f35156777d52a5be068144d47;/dt/?c=8391;
12;1076548742;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/obr.php?id=15471;
14;1076548755;194.228.179.14;4182c1a971721b5624b222864c88b65d;/;
16;1076548774;194.108.232.5;1c6d762051e49abec9870c1e7d5a420c;/;http://mobil.idnes.cz/mobilni_komunikace/mobilni_telefony/abecedni_prehled_mt/siemens/siemenscx65prvniinfo040211.html
11;1076548775;65.54.188.19;df97092840b66ef421ef7175846a4fbe;/dt/?c=10457&tisk=ano;
16;1076548786;65.54.188.42;d033dadd831ee0213c666d282456c04e;/dt/?c=8393&tisk=ano&tisk=ano;
16;1076548790;194.108.232.5;1c6d762051e49abec9870c1e7d5a420c;/ls/?id=139;http://www.mobil.cz/obrazek.html?obrazek=sie_cx65_x2.jpg
16;1076548794;194.108.232.5;1c6d762051e49abec9870c1e7d5a420c;/ls/index.php?&id=139&view=11,4,7,8,13,23,42&filtr=41;http://shop6.cz/ls/?id=139
10;1076548803;131.107.137.37;4fafbea6cbfb91833c3d32a65c29591b;/dt/?c=391;
16;1076548804;194.108.232.5;1c6d762051e49abec9870c1e7d5a420c;/dt/?c=14574;http://shop6.cz/ls/index.php?&id=139&view=11,4,7,8,13,23,42&filtr=41
14;1076548804;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ct/?c=172;http://www.shop4.cz/
14;1076548812;64.68.82.55;c00cb23ae5d313f6ba26fb3b7036b94a;/dt/?c=8935;
14;1076548819;195.122.213.84;46ca8658e2153681c99a2692245993f3;/;http://ad2.billboard.cz/please/showit/20772/1/2/1/?typkodu=html&topmargin=0&leftmargin=0&popis=0&okraj=0&bgcolor=ffffff&text=000000&link=0000ee&target=_top&ubl=undefined&ucc=undefined&ucd=32&uce=true&udx=undefined&udy=undefined&usl=undefined&uje=true&uah=1024&uaw=1280&ubd=undefined&uhe=1024&ulx=undefined&uly=undefined&use=undefined&uto=-60&uti=1076548867078&uui=undefined&uul=undefined&uwi=1280&__INWIDTH=1280&__INHEIGHT=854&href=http%3A//www.anagraphix.cz/fruit.html&bust=0.8769212235634406
11;1076548819;64.68.82.55;fe01022a24bef81a12a3d7d664a7e75d;/dt/?id=6332;
16;1076548821;66.196.90.174;e4c7edc123d11ef6fdcd089c8502eadf;/ct/?c=431;
12;1076548824;64.68.82.144;b7c5f5ad72c833704dc7c6b4b1828274;/dt/?c=9785;
12;1076548826;64.68.82.208;aa9837315f8e766cae82c7f1422635e3;/dt/?c=9988&tisk=ano;
14;1076548831;64.68.82.33;3d8390011fe1975b7045da21319ff78c;/poradna/index.php?th=7823&ths=1;
14;1076548833;64.68.82.164;faa6a2e9136e2bc0b0d9ec6d8cd86a47;/dt/?c=8145&tisk=ano;
14;1076548835;64.68.82.176;df42a36ed466d58f0a28a37d05645509;/dt/?c=8565;
14;1076548843;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/?id=74;http://www.shop4.cz/ct/?c=172
14;1076548862;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/?id=72;http://www.shop4.cz/ct/?c=172
14;1076548895;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/index.php?&id=72&view=1,2,3,4,6,8,10&sort=,12;http://www.shop4.cz/ls/?id=72
10;1076548904;213.220.198.21;2b6e1a6342a6951eeecc84c6470b17ed;/;
14;1076548907;160.218.108.34;b4e8345993ab9cd02db7ef07b2a7cc7f;/;
10;1076548910;213.220.198.21;2b6e1a6342a6951eeecc84c6470b17ed;/ct/?c=145;http://www.shop1.cz/
14;1076548913;65.54.188.29;705def62a7337dced5f9e4bdfc3ed465;/dt/?c=8068&tisk=ano;
14;1076548914;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/index.php?&id=74&view=1,2,3,4,6,8,10,15&sort=,12;http://www.shop4.cz/ls/?id=74
10;1076548920;213.220.198.21;2b6e1a6342a6951eeecc84c6470b17ed;/ls/?id=10;http://www.shop1.cz/ct/?c=145
14;1076548927;65.54.188.29;39830c9fa2c4a725c8074eaa79ec35d3;/dt/?c=15877&tisk=ano;
14;1076548932;194.228.179.14;4182c1a971721b5624b222864c88b65d;/dt/?c=4243;http://www.shop4.cz/ls/index.php?&id=72&view=1,2,3,4,6,8,10&sort=,12
14;1076548937;65.54.188.29;c4cc0c4b80ea14e56dc43c422696c5a5;/dt/?c=13057&tisk=ano;
10;1076548939;213.220.198.21;2b6e1a6342a6951eeecc84c6470b17ed;/ls/index.php?&id=10&view=3,1,2&sort=,11;http://www.shop1.cz/ls/?id=10
12;1076548940;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/znacka/?c=125;http://www.shop3.cz/
16;1076548941;213.247.150.225;caea7b4a60c956442c466276a7db80e5;/;http://mobil.idnes.cz/mobilni_komunikace/mobilni_telefony/abecedni_prehled_mt/ostatni/curitels2prvniinfo030930.html
12;1076548951;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/?c=14543;http://www.shop3.cz/znacka/?c=125
14;1076548954;65.54.188.29;f80796d61573a4963603011e5ec5b40a;/dt/?c=2954&tisk=ano;
14;1076548957;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/index.php?&id=74&view=1,2,3,4,6,8,10,15&sort=,12,4;http://www.shop4.cz/ls/index.php?&id=74&view=1,2,3,4,6,8,10,15&sort=,12
10;1076548957;213.220.198.21;2b6e1a6342a6951eeecc84c6470b17ed;/ls/index.php?&id=10&view=3,1,2&sort=,11&pozice=20;http://www.shop1.cz/ls/index.php?&id=10&view=3,1,2&sort=,11
12;1076548961;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/obr.php?id=17096;
16;1076548962;213.247.150.225;caea7b4a60c956442c466276a7db80e5;/findf/?full=Curitel;http://www.shop6.cz/
14;1076548969;65.54.188.29;d45ed0b40dc2f313e0172f6e79b893f3;/dt/?c=3244&tisk=ano;
14;1076548982;194.228.179.14;4182c1a971721b5624b222864c88b65d;/dt/?c=13864;http://www.shop4.cz/ls/index.php?&id=72&view=1,2,3,4,6,8,10&sort=,12
14;1076548983;65.54.188.29;2e5c62636193a058611e53299817b291;/dt/?c=15912;
14;1076548992;160.218.108.34;b4e8345993ab9cd02db7ef07b2a7cc7f;/findf/?full=WHIRLPOOL+++ARG+09&x=6&y=7;http://www.shop4.cz/
10;1076548998;212.80.76.102;83937ead9b585f238b3b60690ae7a707;/;
10;1076548998;212.80.76.102;83937ead9b585f238b3b60690ae7a707;/;
11;1076548999;212.80.76.102;2a8768f191b8564beadbde0624a386fb;/;
11;1076548999;212.80.76.102;2a8768f191b8564beadbde0624a386fb;/;
14;1076549001;194.228.179.14;4182c1a971721b5624b222864c88b65d;/dt/?c=13446;http://www.shop4.cz/ls/index.php?&id=74&view=1,2,3,4,6,8,10,15&sort=,12,4
14;1076549022;194.228.179.14;4182c1a971721b5624b222864c88b65d;/dt/prisl.php?id=14870;
14;1076549026;194.228.179.14;4182c1a971721b5624b222864c88b65d;/dt/prisl.php?id=13914;
10;1076549031;194.212.135.13;7a4b398adfe0a75ee3a8e99bc1a6717f;/dt/?id=9697;http://www.digineff.cz/
10;1076549034;194.212.135.13;7a4b398adfe0a75ee3a8e99bc1a6717f;/dt/?c=9697;http://www.digineff.cz/
10;1076549036;194.212.135.13;7a4b398adfe0a75ee3a8e99bc1a6717f;/dt/?id=9697;http://www.digineff.cz/
10;1076549039;194.212.135.13;7a4b398adfe0a75ee3a8e99bc1a6717f;/dt/?c=9697;http://www.digineff.cz/
12;1076549050;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/ct/?c=458;http://www.shop3.cz/dt/?c=14543
12;1076549054;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/ls/?id=128;http://www.shop3.cz/ct/?c=458
14;1076549056;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/?id=73;http://www.shop4.cz/dt/?c=13864
14;1076549063;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ct/?c=162;http://www.shop4.cz/dt/?c=13446
12;1076549064;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/?c=13341;http://www.shop3.cz/ls/?id=128
14;1076549069;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/?id=49;http://www.shop4.cz/ct/?c=162
17;1076549073;131.107.137.37;d2e7c9b652c5af1f91c4d5fa965eaa6c;/dt/?c=12751;
10;1076549076;213.220.198.21;2b6e1a6342a6951eeecc84c6470b17ed;/ls/index.php?&id=10&view=3,1,2&sort=,11;http://www.shop1.cz/ls/index.php?&id=10&view=3,1,2&sort=,11&pozice=20
14;1076549079;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/?&id=49&view=1,2,3,4,12,25,13&pozice=40;http://www.shop4.cz/ls/?id=49
10;1076549079;194.213.41.2;bd5f0203f19ecd97f7296f2a3fa8c22b;/dt/?c=14990;http://www.shop1.cz/ls/?filtr=4&id=3&sort=&view=1,9,11,29,35
12;1076549081;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/?c=9895;http://www.shop3.cz/ls/?id=128
14;1076549087;64.68.82.199;44794650a3b4963afaada8b5600f5816;/poradna/w-glossary.php?&pozice=110&tisk=ano;
12;1076549092;195.47.26.26;9fd34a1c8b90a3bdd8381953c9e5d6cf;/;
14;1076549093;194.228.179.14;4182c1a971721b5624b222864c88b65d;/ls/index.php?&id=73&view=2,3,4,7,8,10&sort=,_4;http://www.shop4.cz/ls/?id=73
12;1076549095;64.68.82.144;c421879a830621bb4da380123a80c68d;/dt/?c=9413;
14;1076549098;194.228.179.14;4182c1a971721b5624b222864c88b65d;/dt/?c=14879;http://www.shop4.cz/ls/index.php?&id=73&view=2,3,4,7,8,10&sort=,_4
12;1076549103;64.68.82.164;3b4472daf072e6a0ef63a563504498c2;/dt/?c=7383&tisk=ano;
12;1076549107;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/?c=15003;http://www.shop3.cz/ls/?id=128
12;1076549114;68.38.21.26;2b592716b5387396f85f44e9e483a9a4;/dt/?c=16657;http://www.shop3.cz/ls/?id=128
12;1076549116;64.68.82.176;738a5754be772395ebb647511d695088;/dt/?c=5789&tisk=ano;
