14;1074978002;195.70.128.222;44a9ee3fb35d37ca22a60a7b326f069f;/;http://www.caramba.cz/page.php?PgID=3
14;1074978045;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1;http://www.shop4.cz/findp/?akce=19&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
14;1074978044;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/dt/?c=11995;http://www.shop4.cz/ls/?&p_3=nerez&p_6=4&p_6_==&p_7=nerez&id=61&view=1%2C2%2C3%2C5%2C7%2C8&&aktul=0
14;1074978048;195.39.7.103;1e1539f9bc46f1e41e6f75e770355b94;/dt/?c=9637;http://www.shop4.cz/ls/?&id=108&view=1,2,4,5,7&pozice=20
10;1074978037;212.71.160.201;811518ae4157402f4110511a315a9367;/dt/?c=14588;http://www.shop1.cz/ls/index.php?&id=3&view=1,9,11,29,35&sort=,4&pozice=20
17;1074978048;194.108.242.3;8a1899c1b14749c596dd8bc71859402c;/;http://www.shop.cz/search.php?full=monitory
11;1074978050;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/preber.php;http://www.shop2.cz/ls/?id=94
14;1074978049;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/dt/?c=10714;http://www.shop4.cz/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
11;1074978050;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/?filtr=99&id=94&sort=&view=2,3,7;http://www.shop2.cz/ls/?id=94
14;1074978055;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/dt/param.php?id=524;
12;1074978055;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/preber.php;http://www.shop3.cz/ls/?filtr=&id=29&sort=&view=1,3,25,4,5
12;1074978055;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/?filtr=23&id=29&sort=&view=1,3,25,4,5;http://www.shop3.cz/ls/?filtr=&id=29&sort=&view=1,3,25,4,5
14;1074978054;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=11339;http://www.shop4.cz/ls/?id=67
14;1074978061;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=11337;http://www.shop4.cz/ls/?id=67
14;1074978063;195.39.7.103;1e1539f9bc46f1e41e6f75e770355b94;/dt/?c=7520;http://www.shop4.cz/ls/?&id=108&view=1,2,4,5,7&pozice=20
12;1074978062;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ct/?c=157;http://www.shop3.cz/ct/?c=157
14;1074978065;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/dt/obr.php?id=3222;
11;1074978067;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/?id=92;http://www.shop2.cz/ls/?filtr=99&id=94&sort=&view=2,3,7
14;1074978068;212.20.99.250;90d9f02bcb7b46e493556ebaccc77dd1;/dt/?c=14641;http://www.shop4.cz/ls/sety.php?id=146
17;1074978068;194.108.242.3;8a1899c1b14749c596dd8bc71859402c;/ls/?id=153&sort=_32;http://www.shop7.cz/
12;1074978068;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ls/?id=36;http://www.shop3.cz/ct/?c=157
14;1074978069;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1;http://www.shop4.cz/findp/?akce=19&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
14;1074978070;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/ct/?c=166;http://www.shop4.cz/ls/sety.php?id=164
11;1074978074;81.31.17.49;9781b86b98d6c87b408b32a154866a80;/dt/obr.php?id=11437;http://www.shop2.cz/dt/?c=9891
15;1074978075;80.188.240.18;ed7381e0121d910803d6fa7c49c2993a;/ls/?id=75;http://www.shop5.cz/
14;1074978075;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/ls/?id=59;http://www.shop4.cz/ct/?c=166
12;1074978075;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ls/index.php?&id=36&view=2,4,5&filtr=14;http://www.shop3.cz/ls/?id=36
12;1074978076;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/dt/?c=13065;http://www.shop3.cz/ls/?id=43
11;1074978077;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/?id=15;http://www.shop2.cz/ls/?id=92
12;1074978080;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/preber.php;http://www.shop3.cz/ls/?filtr=23&id=29&sort=&view=1,3,25,4,5
12;1074978080;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/?filtr=&id=29&sort=&view=1,3,25,4,5;http://www.shop3.cz/ls/?filtr=23&id=29&sort=&view=1,3,25,4,5
14;1074978080;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/dt/?c=9409;http://www.shop4.cz/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
16;1074978072;160.218.14.8;541b0b1fda189970b7e827be9752cc2d;/;http://www.shop5.cz/dt/?c=10573
14;1074978083;212.90.236.35;c9490db41f7b5603067f1afe0d7445ed;/dt/glosar.php?id=21;
14;1074978081;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/findp/?&id=59&view=1,2,3,4,5,6,11,12;http://www.shop4.cz/ls/?id=59
16;1074978083;212.71.151.226;6da5744fa41abdcd05c2565e4d47423c;/findf/?full=Sony%20Ericsson%20T610;http://mobil.idnes.cz/mobil_p1.html?z1=1096&z2=1229&z3=&z4=&z5=&z6=&akcicka=zakladni&akce=detail
14;1074978087;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/dt/param.php?id=524;
15;1074978092;62.77.70.254;8e7120e3650caed94f0fc5bc18bd40de;/;
12;1074978093;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/preber.php;http://www.shop3.cz/ls/?filtr=&id=29&sort=&view=1,3,25,4,5
14;1074978092;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/ls/?&p_3=nerez&p_6=4&p_6_==&p_7=nerez&id=61&view=1%2C2%2C3%2C5%2C7%2C8&&aktul=0;http://www.shop4.cz/findp/?&id=61&view=1,2,3,5,7,8&p_1=60&p_1_==&p_3=nerez&p_6=4&p_6_==&p_7=nerez
12;1074978094;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/?filtr=22&id=29&sort=&view=1,3,25,4,5;http://www.shop3.cz/ls/?filtr=&id=29&sort=&view=1,3,25,4,5
16;1074978090;62.177.71.22;e79a3b3a9949500a63c0758c49c0101b;/dt/?id=8302;http://www.shop6.cz/dt/?c=12242
14;1074978095;213.235.129.95;7e75e316db3fe1b8450989fc0b6ac6a5;/ct/?c=164;http://www.shop4.cz/ls/?id=68
12;1074978095;212.20.105.25;79a133e6210aede281f7935ed94fae6b;/ls/?id=41;http://www.shop3.cz/dt/?c=14382
12;1074978095;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/dt/?c=10457;http://www.shop3.cz/ls/index.php?&id=36&view=2,4,5&filtr=14
14;1074978099;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/dt/param.php?id=34;
16;1074978095;62.177.71.22;3587a9b2fefead6ea5c882aec48e5370;/dt/?c=8302;http://www.shop6.cz/dt/?c=12242
15;1074978100;62.77.70.7;8e7120e3650caed94f0fc5bc18bd40de;/dt/?c=16021;http://www.shop5.cz/
12;1074978101;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/ls/?id=43;http://www.shop3.cz/ct/?c=160
14;1074978100;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=11336;http://www.shop4.cz/ls/?id=67
12;1074978094;160.218.40.10;c3de072e2bd95930717b3ea679c36942;/poradna/?&tema_id=17&pozice=60;
12;1074978103;63.97.179.30;8c58beb6f3792df444d32bd9aaf68520;/dt/?c=10458;
14;1074978104;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/dt/?c=3288;http://www.shop4.cz/ls/?&p_3=nerez&p_6=4&p_6_==&p_7=nerez&id=61&view=1%2C2%2C3%2C5%2C7%2C8&&aktul=0
14;1074978106;194.228.136.151;bc3f2fce4a48742c658108b0d28b11bc;/znacka/?&pozice=180&c=133;http://www.google.com/search?q=d%C5%99ez+rohov%C3%BD&ie=UTF-8&oe=UTF-8&hl=cs&btnG=Vyhledat+Googlem&lr=lang_cs
17;1074978106;194.108.242.3;8a1899c1b14749c596dd8bc71859402c;/dt/?c=12308;http://www.shop7.cz/ls/?id=153&sort=_32
14;1074978108;195.39.7.103;1e1539f9bc46f1e41e6f75e770355b94;/ls/?&id=108&view=1,2,4,5,7&pozice=40;http://www.shop4.cz/ls/?&id=108&view=1,2,4,5,7&pozice=20
12;1074978112;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/?&id=29&view=1,3,25,4,5&filtr=22&pozice=20;http://www.shop3.cz/ls/?filtr=22&id=29&sort=&view=1,3,25,4,5
12;1074978112;212.20.105.25;79a133e6210aede281f7935ed94fae6b;/ls/?id=41;http://www.shop3.cz/dt/?c=14382
14;1074978114;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/dt/param.php?id=30;
14;1074978114;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=11339;http://www.shop4.cz/ls/?id=67
11;1074978118;193.85.243.20;79fa7285bda24d5d29ed367e79926d3f;/mailp/?link=%2Fls%2F%3Ffiltr%3D94%26id%3D18%26sort%3D%26view%3D1%2C2%2C3%2C8;
14;1074978118;194.228.136.151;bc3f2fce4a48742c658108b0d28b11bc;/dt/?c=8270;http://www.shop4.cz/znacka/?&pozice=180&c=133
11;1074978118;194.228.171.173;55bbb20b867c9f65672c3353ea7c9c96;/ls/?id=13;http://www.shop2.cz/ct/?c=146
12;1074978120;212.20.105.25;79a133e6210aede281f7935ed94fae6b;/ls/index.php?&id=41&view=1,2,5,20&filtr=8;http://www.shop3.cz/ls/?id=41
14;1074978120;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=13030;http://www.shop4.cz/ls/?id=67
12;1074978121;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/dt/?c=13202;http://www.shop3.cz/ls/index.php?&id=41&view=1,2,5,20&sort=,_4&pozice=20
12;1074978125;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ls/?id=37;http://www.shop3.cz/dt/?c=10457
12;1074978123;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/dt/?c=12849;http://www.shop3.cz/ls/?id=43
14;1074978127;195.39.7.103;1e1539f9bc46f1e41e6f75e770355b94;/dt/?c=9687;http://www.shop4.cz/ls/?&id=108&view=1,2,4,5,7&pozice=40
14;1074978128;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/findp/preber3.php;http://www.shop4.cz/findp/?&id=59&view=1,2,3,4,5,6,11,12
14;1074978129;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/dt/param.php?id=79;
14;1074978129;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=11242;http://www.shop4.cz/ls/?id=67
10;1074978130;194.228.206.134;68c8b2417db6a4c2142f3fee2fdea539;/dt/?id=9697;http://www.digineff.cz/
14;1074978129;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/findp/?id=59&akce=nic&p_6=A&p_11=nerez&p_24=ano&p_13=ano&p_22=ano&id=59&view=1%2C2%2C3%2C4%2C5%2C6%2C11%2C12&;http://www.shop4.cz/findp/?&id=59&view=1,2,3,4,5,6,11,12
10;1074978131;194.228.206.134;68c8b2417db6a4c2142f3fee2fdea539;/dt/?c=9697;http://www.digineff.cz/
15;1074978132;209.237.238.174;9af872904a7efd523f030000e66cd036;/dt/?c=13409;
16;1074978134;195.113.0.8;2f0204962e1d6664078d5d225396f620;/dt/?c=15452;http://mobil.idnes.cz/mobilni_komunikace/mobilni_telefony/abecedni_prehled_mt/panasonic/panasonicx11040123.html
12;1074978134;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/dt/?c=9866;http://www.shop3.cz/ls/?&id=29&view=1,3,25,4,5&filtr=22&pozice=20
11;1074978133;194.228.171.173;55bbb20b867c9f65672c3353ea7c9c96;/dt/?c=11312;http://www.shop2.cz/ls/?id=13
14;1074978135;194.228.136.151;bc3f2fce4a48742c658108b0d28b11bc;/dt/?c=8280;http://www.shop4.cz/znacka/?&pozice=180&c=133
12;1074978137;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/dt/?c=11162;http://www.shop3.cz/ls/?id=37
14;1074978138;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=10559;http://www.shop4.cz/ls/?id=67
14;1074978141;62.245.72.104;0ccd4fa2db7222daca9cf6433bbf0530;/znacka/?id=39;http://search.centrum.cz/katalog/search.php?q=aeg&sec=mix&Sub.x=21&Sub.y=11
14;1074978141;62.245.72.104;0ccd4fa2db7222daca9cf6433bbf0530;/znacka/?c=39;http://search.centrum.cz/katalog/search.php?q=aeg&sec=mix&Sub.x=21&Sub.y=11
11;1074978140;62.209.209.35;e007db27d35e292ead31d2b049f64202;/poradna/index.php?&o=odpd;http://www.google.com/search?q=Thomson+A+3580&hl=cs&lr=&ie=UTF-8&oe=UTF-8&start=20&sa=N
12;1074978144;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/dt/?c=9967;http://www.shop3.cz/ls/index.php?&id=41&view=1,2,5,20&sort=,_4&pozice=20
14;1074978145;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1;http://www.shop4.cz/findp/?akce=19&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
12;1074978146;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/preber.php;http://www.shop3.cz/ls/?&id=29&view=1,3,25,4,5&filtr=22&pozice=20
12;1074978146;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/?filtr=&id=29&sort=&view=1,3,25,4,5;http://www.shop3.cz/ls/?&id=29&view=1,3,25,4,5&filtr=22&pozice=20
14;1074978147;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/dt/param.php?id=80;
14;1074978147;194.228.136.151;bc3f2fce4a48742c658108b0d28b11bc;/dt/?c=8365;http://www.shop4.cz/znacka/?&pozice=180&c=133
12;1074978147;212.20.105.25;79a133e6210aede281f7935ed94fae6b;/dt/?c=9881;http://www.shop3.cz/ls/index.php?&id=41&view=1,2,5,20&filtr=8
11;1074978149;62.245.80.135;d7fdb4c296bfb18bae0885b45f4d2675;/dt/param.php?id=361;
14;1074978149;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/findp/preber3.php;http://www.shop4.cz/findp/?id=59&akce=nic&p_6=A&p_11=nerez&p_24=ano&p_13=ano&p_22=ano&id=59&view=1%2C2%2C3%2C4%2C5%2C6%2C11%2C12&
11;1074978149;62.209.209.35;e007db27d35e292ead31d2b049f64202;/poradna/index.php?th=5280&ths=1;http://www.shop2.cz/poradna/index.php?&o=odpd
14;1074978149;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/ls/?&p_6=A&p_11=nerez&id=59&view=1%2C2%2C3%2C4%2C5%2C6%2C11%2C12&&aktul=0;http://www.shop4.cz/findp/?id=59&akce=nic&p_6=A&p_11=nerez&p_24=ano&p_13=ano&p_22=ano&id=59&view=1%2C2%2C3%2C4%2C5%2C6%2C11%2C12&
12;1074978149;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/ls/index.php?&id=41&view=1,2,5,20&sort=,_4&pozice=20;http://www.shop3.cz/ls/index.php?&id=41&view=1,2,5,20&sort=,_4
14;1074978151;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/dt/param.php?id=39;
12;1074978152;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/preber.php;http://www.shop3.cz/ls/?filtr=&id=29&sort=&view=1,3,25,4,5
12;1074978152;195.113.187.189;c136e1c167265ef5301d9f07adb58fcf;/ls/?filtr=86&id=29&sort=&view=1,3,25,4,5;http://www.shop3.cz/ls/?filtr=&id=29&sort=&view=1,3,25,4,5
11;1074978153;194.228.171.173;55bbb20b867c9f65672c3353ea7c9c96;/dt/obr.php?id=13551;
14;1074978153;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/findp/;http://www.shop4.cz/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
14;1074978153;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/findp/strom.php?;http://www.shop4.cz/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
14;1074978154;212.20.99.250;90d9f02bcb7b46e493556ebaccc77dd1;/ct/?c=163;http://www.shop4.cz/ls/sety.php?id=146
11;1074978148;81.31.17.49;9781b86b98d6c87b408b32a154866a80;/dt/?c=9891&komentare=1;http://www.shop2.cz/dt/?c=9891
14;1074978162;194.228.179.96;591d7590c401ec7c5931ca1816673c51;/findp/preber3.php;http://www.shop4.cz/findp/?&id=117&view=1,2,3,9&filtr=133
14;1074978162;62.245.72.104;0ccd4fa2db7222daca9cf6433bbf0530;/dt/?c=11782;http://www.shop4.cz/znacka/?c=39
14;1074978162;212.20.118.221;4aa7add5f72f127ed9bfe3e70dcd5871;/ls/?&p_3=nerez&p_6=4&p_6_==&p_7=nerez&id=61&view=1%2C2%2C3%2C5%2C7%2C8&&aktul=0;http://www.shop4.cz/findp/?&id=61&view=1,2,3,5,7,8&p_1=60&p_1_==&p_3=nerez&p_6=4&p_6_==&p_7=nerez
14;1074978163;194.228.133.103;232764044ff68d10241ffc25a59e89ca;/setp/?&id=59&view=1,2,3,4,5,6,11,12&p_6=A&p_11=nerez;http://www.shop4.cz/ls/?&p_6=A&p_11=nerez&id=59&view=1%2C2%2C3%2C4%2C5%2C6%2C11%2C12&&aktul=0
14;1074978163;194.228.179.96;591d7590c401ec7c5931ca1816673c51;/findp/?id=117&akce=nic&p_1=850&p_1_=<&p_2=500&p_2_=<&p_3=fragranit&p_5=klasick%FD&p_6=zam%ECniteln%FD&p_8=850&p_8_=>&p_9=500&p_9_=<&id=117&filtr=133&view=1%2C2%2C3%2C9&;http://www.shop4.cz/findp/?&id=117&view=1,2,3,9&filtr=133
15;1074978164;195.113.26.196;d90516f21657e5633addef1b1b72dbb1;/;
14;1074978163;212.90.225.157;e6c1d9f7df1cdac1f47222b4642f5437;/findp/?&id=46&view=1,2,3,6,4,16,5,12&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&filtr=29,36;http://www.shop4.cz/ls/?&p_6=A&p_14=1&p_14_=<&p_9=1&p_9_=<&p_26=39&p_26_=<&p_5=95&p_5_=<&p_19=16&p_19_=>&id=46&filtr=29%2C36&view=1%2C2%2C3%2C6%2C4%2C16%2C5%2C12&&aktul=1
10;1074978165;194.228.206.134;68c8b2417db6a4c2142f3fee2fdea539;/ls/?id=3;http://www.shop1.cz/dt/?c=9697
11;1074978164;212.65.233.66;c284d6569986abbf5461fc545756cc9c;/dt/?c=14994;http://www.shop2.cz/ls/index.php?&id=13&view=2,3,4,5,8&filtr=23
12;1074978166;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ct/?c=155;http://www.shop3.cz/dt/?c=11162
14;1074978170;195.39.7.103;1e1539f9bc46f1e41e6f75e770355b94;/ls/?&id=108&view=1,2,4,5,7;http://www.shop4.cz/ls/?&id=108&view=1,2,4,5,7&pozice=40
12;1074978170;217.159.1.75;774584a1b94c2f01231979ce7e034412;/dt/?c=9789;http://search1.seznam.cz/search.fcgi?w=Philips+LX+700&mod=k-p-y&firm=&sid=&from=21&l=20&r=
16;1074978170;81.27.192.16;ff155f9f72eab5af3a45fe58b4549136;/dt/?c=15452;http://mobil.idnes.cz/mobilni_komunikace/mobilni_telefony/abecedni_prehled_mt/sonyericsson/z600recenze031216.html
